volMax pesoMax custo
272 346 13030
261 377 16201
325 301 14000
351 331 14619
348 286 13063
250 388 14104
338 347 16465
355 384 16067
358 294 16515
372 332 13172
267 256 16831
359 251 14297
291 330 13023
303 331 16805
337 283 14411
352 374 15585
264 369 16070
326 258 15059
363 361 15885
295 383 15035
351 393 13570
306 374 13194
257 280 13484
301 351 15405
267 314 15163
317 322 14086
341 324 15733
336 315 16643
387 318 15400
357 287 16885
369 342 13018
388 349 16081
314 364 14231
264 312 15477
331 400 13852
299 286 14444
386 265 16317
286 373 14399
303 386 13155
369 334 13110
394 263 16641
276 381 16210
301 358 14889
387 302 13821
278 355 13350
344 287 15880
262 361 13048
335 357 15797
254 278 13256
367 371 14905
349 297 13356
286 267 14372
305 327 15645
256 375 16361
372 387 16571
271 354 13663
263 266 13554
355 293 14210
314 251 16842
259 353 14922
267 271 16287
254 393 14857
284 300 13745
395 326 15503
255 261 16458
365 298 13354
264 293 13099
279 251 16350
383 334 16818
315 269 13353
366 287 13332
311 332 14058
286 343 13083
313 285 13563
301 327 14006
399 336 16514
275 275 13542
326 373 15323
288 317 13003
287 259 15951
270 351 13763
305 358 15972
316 373 16561
385 362 13061
318 263 15745
270 356 16907
252 357 13838
300 297 13024
315 391 13264
297 328 14258
298 260 16754
269 351 16269
359 330 13145
276 357 13616
367 297 13172
290 296 15305
250 295 15721
390 359 15991
277 393 13034
323 386 15284
346 290 14308
382 341 16472
263 356 16045
299 285 13415
299 312 13558
370 348 13178
363 274 16375
292 333 16669
304 292 13332
334 287 16609
308 288 14509
318 312 13804
345 299 16824
348 315 16357
275 366 15641
310 271 15037
388 321 15886
285 307 13606
359 273 14515
300 250 15831
340 302 16094
337 275 16014
329 354 15649
322 260 15587
295 338 15604
324 280 13050
256 325 16575
355 277 16906
360 390 15996
323 355 15908
392 290 13407
285 345 13686
264 274 15358
321 310 16562
278 303 15182
349 269 13562
301 369 16231
337 258 13920
312 394 14644
380 366 13036
367 349 13002
391 384 16516
313 266 13401
282 315 16711
269 256 16878
254 321 14044
265 282 14996
346 305 13447
348 360 16912
322 284 14261
349 376 14672
383 300 14978
314 328 15810
365 265 15428
317 316 15207
336 283 16233
305 337 16120
383 327 13308
295 376 15103
314 307 13591
260 283 15150
304 283 14070
356 258 14508
281 338 16933
267 316 16806
340 258 13175
344 291 15273
360 385 15429
380 376 16954
259 290 16822
294 360 14003
340 311 13580
309 282 14903
290 334 15327
391 399 13872
375 396 13614
350 322 15778
393 290 13181
344 360 15006
296 267 14654
317 282 13935
329 250 16456
281 303 13016
396 260 16195
277 319 16833
280 263 15572
345 309 16327
349 265 15536
296 258 13416
366 271 14047
317 299 16272
384 297 13205
286 283 15778
326 278 13808
389 347 13563
399 366 15611
316 340 15078
276 334 14889
341 342 15684
281 308 15064
375 312 14229
340 254 15756
329 373 13341
267 289 16996
258 269 16413
363 314 14349
276 387 14754
384 251 13535
353 260 15542
383 273 14560
290 315 16788
381 361 14991
253 334 14418
335 383 16517
310 303 16613
380 266 16324
328 387 13266
285 377 13684
371 273 13406
369 305 13758
316 376 13049
264 397 14223
260 400 16711
373 333 13945
382 366 13602
388 307 16613
285 388 15582
393 384 14282
360 312 16871
352 291 16822
399 326 15180
400 335 16586
344 278 13008
332 399 14563
312 266 15324
379 373 16153
328 381 16981
265 267 15913
258 386 15236
288 355 15089
253 257 13398
299 308 15613
363 392 14957
335 286 14488
399 351 16090
300 317 14834
390 325 13647
273 328 14764
328 314 13667
290 394 15645
373 383 16621
365 297 15420
395 256 16360
302 298 13060
311 385 13410
283 376 15601
255 323 16318
340 324 15862
313 290 13549
280 291 13962
333 392 13229
262 398 14356
297 273 16887
296 337 16188
250 338 15930
297 353 13925
308 251 13836
254 281 14658
317 279 14123
336 341 15373
268 258 14107
261 302 13720
390 311 13984
373 266 15180
390 316 13629
313 298 14388
379 365 14750
261 351 14545
272 328 13423
350 329 14023
347 297 13239
354 388 16737
356 288 16325
279 386 15210
251 258 14759
330 384 14044
299 269 13237
308 254 16516
274 363 15023
340 271 15094
312 346 13188
352 389 16123
307 327 16707
390 382 15140
361 367 15526
342 360 13178
273 372 13802
