volume peso recompensa duração(s)
23 25 1855 827
23 25 1855 827
17 9 617 1080
26 18 1214 541
21 3 2189 563
21 21 785 1066
30 24 325 832
28 13 685 154
23 16 241 234
13 12 2141 872
8 29 935 469
29 5 1147 721
13 18 1478 428
30 27 603 132
29 9 1819 133
23 28 979 997
24 10 1292 156
15 15 670 199
23 22 2008 1024
22 27 1639 965
12 13 376 926
26 22 1182 928
8 28 289 644
7 10 970 495
12 23 2033 655
5 3 211 202
28 24 502 246
25 23 2095 948
26 15 1078 80
15 25 359 1033
24 12 854 74
6 7 725 125
22 13 727 310
30 23 464 146
13 13 404 449
17 30 447 10
15 13 1905 499
27 8 895 759
21 14 1968 77
7 14 1235 157
3 5 551 722
27 4 2052 60
28 18 1027 430
28 7 1145 859
3 26 2103 401
23 13 875 718
3 26 1012 526
17 15 1218 700
15 17 1615 1069
8 6 1726 734
15 30 1014 906
28 15 774 367
9 19 1842 159
15 17 911 318
17 15 683 610
25 19 318 659
14 5 954 80
25 16 1558 830
19 19 1525 867
14 17 1635 338
15 8 1819 561
3 11 539 367
4 18 209 1031
7 18 301 105
24 17 524 1067
26 15 2147 638
23 5 1054 763
22 30 1361 444
11 24 2053 1075
30 29 620 409
4 26 543 943
15 19 1457 741
25 4 408 291
18 14 618 116
5 29 613 416
11 14 1705 21
10 4 1490 22
14 19 1339 348
5 20 360 144
8 3 608 1
20 18 815 794
14 25 217 387
27 15 1738 472
3 16 2147 269
4 3 801 364
17 14 1011 1025
23 7 462 820
24 10 693 1056
30 24 877 134
6 18 1917 39
30 14 899 254
16 21 1493 257
24 10 1579 1023
24 30 2066 742
25 12 1776 70
21 3 1181 1070
23 22 1053 1085
10 27 1621 391
30 19 681 370
23 4 1072 915
20 16 1148 525
7 18 672 536
13 15 2155 42
28 18 865 342
11 19 1924 705
10 4 1349 865
11 13 1001 108
28 10 1139 813
14 6 1351 1056
17 7 1511 180
13 15 1575 1100
9 12 261 806
21 20 602 1096
21 18 851 312
24 29 1496 39
15 26 874 1077
23 4 2159 875
20 20 2193 36
18 9 538 88
3 21 1209 757
11 4 1516 148
21 9 800 316
19 7 1132 53
23 29 1980 241
6 5 870 1029
30 6 1258 710
8 28 1669 170
12 28 482 992
27 20 827 564
28 8 795 793
14 14 997 917
26 11 692 263
29 22 1701 612
12 28 566 732
14 25 1721 990
10 18 569 637
18 7 1615 428
11 27 2159 628
30 10 1906 284
14 15 1758 973
15 14 1799 867
6 11 1699 500
14 15 773 640
22 10 1687 221
28 14 1091 208
18 28 1542 1031
15 20 1998 388
8 10 465 298
3 10 2034 154
3 23 375 245
